codigo,nombre producto,material,color
CALI-ME01,Clavo,metal,verde
CALI-MA02,Estantería,madera,rojo
CALI-VD03,Cuadro,vidrio,negro
CALI-NY04,Bolsa,nylon,amarillo
CALI-HU05,Botella,hule,azul
CALI-PO06,Almohada,poliester,azul
CALI-ME07,Pincel,metal,amarillo
CALI-MA08,Mueble,madera,verde
CALI-VD09,Vaso,vidrio,azul
CALI-NY10,Cuerda,nylon,rojo
CALI-HU11,Tapete,hule,verde
CALI-PO12,Chaqueta,poliester,negro
CALI-ME13,Lámpara,metal,verde
CALI-MA14,Mesita,madera,amarillo
CALI-VD15,Botellas,vidrio,verde
CALI-NY16,Correa,nylon,na
CALI-HU17,Protector,hule,na
CALI-PO18,Sombrero,poliester,rojo
CALI-ME19,Anillo,metal,amarillo
CALI-MA20,Armario,madera,na
CALI-VD21,Jarrón,vidrio,verde
CALI-NY22,Correa,nylon,azul
CALI-HU23,Guante,hule,amarillo
CALI-PO24,Cinturón,poliester,negro
CALI-ME25,Martillo,metal,rojo
CALI-MA26,Estante,madera,azul
CALI-VD27,Espejo,vidrio,na
CALI-NY28,Correa,nylon,amarillo
CALI-HU29,Tapete,hule,verde
CALI-PO30,Chaqueta,poliester,na
CALI-ME31,Destornillador,metal,verde
CALI-MA32,Mueble,madera,na
CALI-VD33,Lámpara,vidrio,rojo
CALI-NY34,Alfombra,nylon,negro
CALI-HU35,Protector,hule,azul
CALI-PO36,Camiseta,poliester,amarillo
CALI-ME37,Ancla,metal,verde
CALI-MA38,Armario,madera,verde
CALI-VD39,Frasco,vidrio,amarillo
CALI-NY40,Cinta,nylon,rojo
